GivenName,Surname,StreetAddress,TelephoneNumber
Keith,Palmer,"2590 Central Pkwy",905-301-2139
Anthony,Perkins,"4505 Galts Ave",403-323-5415
Jason,Petrie,"683 Bloor Street",780-657-4409
Robert,Harris,"658 rue Saint-Édouard",819-373-2495
Ronald,Fox,"4189 Kennedy Rd",705-927-0922
Kristen,Koontz,"4099 Richford Road",450-244-9369
Claude,Johnson,"3979 Burdett Avenue",250-721-0290
Jeffrey,White,"3813 rue Levy",514-717-3713
Clint,Conaway,"3902 Islington Ave",647-224-0828
Bruce,Grant,"4907 Exmouth Street",519-337-4006
Lynn,Muhammad,"4474 rue Saint-Charles",450-928-8336
Terri,Cherry,"2441 Coldstream Avenue",250-503-3478
James,Parsons,"4702 47th Avenue",867-994-9396
Mary,Daniel,"2156 5th Avenue",780-351-7759
Helen,Balsamo,"2852 Weir Crescent",416-629-0854
Johnathon,Ang,"2549 St George Street",604-709-8919
Wade,Cooper,"2359 Fallon Drive",519-461-9323
Normand,Charles,"4229 Port Washington Road",403-599-8519
Jessie,Jobe,"4137 Port Washington Road",403-655-0622
Wendell,Barnes,"2551 184th Street",780-868-1163
Angela,Mosser,"588 Cork St",519-823-0297
Antonio,Schwarz,"4244 Stum Lake Road",250-394-9961
Michael,Marston,"3474 Bungay Road",902-964-7851
Charles,Jewell,"3727 Fourth Avenue",403-689-6592
Laura,Thomas,"4093 9th Ave",403-894-9443
John,Malone,"4414 St. John Street",306-799-5089
Thomas,Barnes,"4709 90th Avenue",403-579-0227
Carol,Maddox,"1124 Davis Drive",705-329-9644
Jana,Smith,"4558 St Jean Baptiste St",418-587-2693
Cindy,Watts,"2554 11th Ave",403-261-2519
Nathaniel,Brune,"4381 Duke Street",514-214-1004
Kayla,Duke,"772 Brew Creek Rd",604-898-2376
Annette,Ibarra,"2087 Woodvale Drive",519-289-6532
Juan,Murphy,"3013 Lauzon Parkway",519-324-1463
Christy,Johnson,"66 Ross Street",613-432-3557
Cary,Hale,"3641 Alaska Hwy",250-776-2457
Javier,Bak,"560 Tanner Street",604-432-3013
Sylvia,Chavez,"977 Leslie Street",905-836-4262
Mike,Coster,"329 rue St-Henri",450-654-2917
Angelo,Harmon,"3721 Lillooet Street",306-981-3819
Joan,Wright,"806 137th Avenue",780-492-2222
Stephen,Watts,"3447 Danforth Avenue",416-406-1919
Teresa,Wood,"3349 Parkdale Ave",613-363-6372
David,Wong,"1419 Duke Street",514-231-5281
Henry,Oberle,"2616 5th Avenue",780-354-5595
Latoya,Spurlock,"3676 Saint-Denis Street",514-697-2220
Kristina,Andreas,"4076 9th Avenue",519-364-1341
Jerry,Call,"3857 Keith Road",604-983-8699
Irene,Fontenot,"4845 Water Street",519-807-3043
Brian,Hunley,"1989 Cassells St",705-472-4755
John,Fabian,"569 43rd Avenue",867-667-8592
Lisa,Ferguson,"1440 Central Pkwy",905-609-0861
Cecilia,Tidwell,"2035 Joseph St",519-894-5584
Huey,Strickland,"2397 Beaver Creek",905-482-9373
Janice,Taylor,"3365 Exmouth Street",519-337-7056
Pamela,Wall,"2271 Granville St",902-821-5481
Donald,Montoya,"853 Glover Road",604-576-7090
Jeanne,Martin,"3016 St Jean Baptiste St",418-756-2652
Celia,Lepage,"1271 rue des Églises Est",819-949-8498
April,Schaffer,"1210 rue Garneau",418-653-0630
Kenneth,Casey,"964 Carling Avenue",613-864-8352
Barbara,Quinto,"3383 St. John Street",306-796-4474
Billy,Guimond,"3453 Speers Road",905-483-4024
Craig,Babb,"4995 Acton Avenue",416-600-4733
Jennifer,Mellen,"4999 Ste. Catherine Ouest",514-618-9309
Marlene,Rose,"4024 Stum Lake Road",250-297-4159
Priscilla,Jeter,"3521 James Street",519-484-6078
Patricia,Johnson,"749 Woodvale Drive",519-877-1659
Nelson,Delacruz,"4077 Findlay Creek Road",250-428-5166
Russ,McCray,"2320 Thurston Dr",613-321-9520
Reyna,Fabry,"481 Port Washington Road",403-549-0314
Joseph,Schenk,"186 Albert Street",519-659-2804
Sophia,Serio,"3985 Lynden Road",705-835-2077
Samuel,Johnson,"4056 Charing Cross Rd",519-351-1339
Magda,Harris,"732 Sable Street",705-377-9821
Patrick,Morris,"884 Queens Sq",519-244-0799
Charles,Mahon,"2592 Front Street",416-930-2028
Prince,Preston,"1912 Bay Street",416-827-2576
Sarah,Long,"779 Kinchant St",604-820-1822
James,Khan,"571 40th Street",403-278-4666
Flo,Helfrich,"1628 River Street",519-832-4174
Donald,Herrington,"3724 Davis Drive",905-732-9120
Randy,Kendall,"1035 137th Avenue",780-477-8645
Mary,Horton,"3400 Halsey Avenue",416-388-5893
Francisco,Smith,"1987 St Marys Rd",204-887-9832
Charles,Fernandez,"749 Kennedy Rd",905-375-3748
Carolyn,Oneil,"4182 11th Ave",403-294-1612
Tammy,Burch,"1753 Glover Road",604-460-6570
Mary,Dunn,"4996 Heritage Drive",403-861-0781
Maxine,Longoria,"3311 Lake City Way",778-554-3543
Judy,Robbins,"4581 Rose Street",306-536-9814
Ramona,Rivera,"3529 Cordova Street",604-961-4792
Gracie,Bratton,"120 Duke Street",514-213-3821
Yvonne,Truong,"1220 Ontario St",905-937-3025
Yvonne,Banister,"4025 99th St",780-402-0245
Terry,Kennedy,"2352 Wellington Street",416-936-4960
Teddy,Peralta,"4131 Holdom Avenue",604-953-9250
Jason,West,"3684 Derry Rd",905-676-0413
Tamra,Sealy,"4987 Blind Bay Road",250-577-1273
Jason,Delgado,"2261 Wascana Parkway",306-781-6426
Heather,Barnes,"2736 St. Paul Street",905-650-7290
Dorothy,Berry,"4067 137th Avenue",780-707-8056
Anthony,James,"99 James Street",604-856-0075
Vanessa,Moore,"1200 Dufferin Street",416-531-7476
Evelyn,Hann,"289 rue Saint-Charles",450-928-0846
Calvin,Lee,"3655 Toy Avenue",905-244-4320
James,Roberts,"2321 Boulevard Laflèche",418-712-2530
Mary,Campagna,"2906 rue Principale",819-727-5648
Eulalia,Inman,"4041 50th Street",780-699-3575
Alan,Wyrick,"726 Nelson Street",705-642-2670
Joshua,Carroll,"4942 Hastings Street",778-829-3100
John,Chavez,"4060 47th Avenue",867-993-9884
Richard,Douglass,"633 Paris St",705-561-1657
Jean,Bui,"2623 Merton Street",416-428-6350
Marion,Cox,"246 Weston Rd",416-455-5302
Sandra,Traylor,"2587 Saint-Denis Street",514-429-6292
Juana,Jefferson,"4169 St. Paul Street",905-351-4838
Michael,Lee,"2341 Bay Street",416-856-4022
Heather,Marquart,"3455 rue Levy",514-704-6660
Helen,Joseph,"2648 rue Saint-Antoine",819-314-2477
Gabriela,Talmage,"680 Pine Street",780-987-4335
Roy,Quinto,"4173 Eglinton Avenue",647-402-4443
Allen,Bachman,"479 Lynden Road",705-426-1161
Cyrus,Smith,"4982 Eglinton Avenue",416-315-2578
Jane,Hammer,"4655 Manitoba Street",705-493-9153
Sandra,Smith,"4467 Montreal Road",613-744-7207
Nettie,Campbell,"323 Gorham Street",519-640-1968
Gladys,Melton,"3283 rue Saint-Antoine",819-461-1351
Edna,Campbell,"1924 Blanshard",250-208-9642
Maria,Powers,"3211 Carling Avenue",613-240-7015
Christopher,Maier,"3518 Rue De La Gare",819-244-9774
Jody,Gonzalez,"2421 René-Lévesque Blvd",514-691-1853
Adrienne,Walton,"1952 Weir Crescent",647-888-8955
Bob,Joseph,"4314 rue Saint-Antoine",450-534-9541
Xochitl,Etheridge,"4911 47th Avenue",780-623-8634
Elise,Cook,"4196 Queen Elisabeth Blvd",306-463-9718
Ann,Franks,"2883 No. 3 Road",604-295-9479
Sara,Doty,"1681 Parkdale Avenue",905-314-8618
Timothy,Goodfellow,"1475 Brew Creek Rd",604-932-6381
Michael,Groves,"1710 Lock Street",519-629-7697
Megan,Ayon,"311 49th Avenue",867-928-9653
Ivonne,Brown,"2520 Gorham Street",519-675-4200
Lola,Melendez,"2221 Brand Road",306-249-1493
Francisco,Crowe,"2907 40th Street",403-539-6958
George,Padilla,"3118 Brew Creek Rd",604-840-4845
Casey,Wentworth,"1582 Albert Street",306-544-4857
Ashley,Carder,"4792 René-Lévesque Blvd",514-998-3801
Cynthia,Ames,"1168 Water Street",519-588-9260
Tad,Miller,"1925 Lauzon Parkway",519-980-6809
June,French,"2295 A Avenue",780-498-9676
Harriet,Crouch,"4378 De la Providence Avenue",819-318-2718
Garry,Clark,"3649 Eglinton Avenue",647-998-3839
Angela,Briner,"3737 George Street",705-868-4745
Charles,Hudson,"368 Blind Bay Road",250-375-1825
Marcelene,Scruggs,"4169 102nd Avenue",604-896-0315
David,Thomas,"680 Essendene Avenue",604-302-2969
Cheryl,Molina,"1467 Nelson Street",705-856-6988
Judith,Hagen,"1404 Princess St",613-530-6918
Joann,Watson,"1760 Jasper Ave",780-993-4149
Linda,Thompson,"2618 chemin Georges",450-889-2405
Keith,Ornelas,"611 King George Hwy",604-507-5315
Charles,Wilcox,"726 Carling Avenue",613-769-7813
Susan,Shrout,"2173 Silver Springs Blvd",403-996-7877
Jim,Fitzpatrick,"1158 Merton Street",416-436-8856
Brenda,Willaims,"4301 Walsh Street",807-622-6252
Crystal,Ludlow,"1623 Eglinton Avenue",647-200-7852
Armand,Wick,"2028 Front Street",647-280-7844
Gloria,Lee,"1594 Port Washington Road",403-646-9582
Adam,Swarthout,"3541 Main St",403-638-3127
Louis,Leonard,"3172 Merivale Road",613-599-9749
James,Cohen,"2123 Yonge Street",416-921-0377
Jane,Gray,"712 MacLaren Street",613-785-0477
Linda,Coleman,"1843 Bayfield St",905-326-9294
Judy,David,"1405 Sherbrooke Ouest",514-531-9681
Shantell,Varner,"3650 137th Avenue",780-456-8058
Ruben,Davis,"2727 99th St",780-532-6059
Diana,Garza,"168 Galts Ave",403-309-0759
Justin,Graves,"3346 Hardy Street",250-860-1040
Andrea,Moore,"1424 Campsite Road",780-960-0766
Arlene,Lindsey,"3761 Tanner Street",604-419-3722
Edward,Potts,"246 Water Street",519-744-3499
Lee,Stott,"237 Pine Street",403-786-8080
Bessie,Goff,"1163 Dry Pine Bay Rd",705-965-6456
Branden,Wells,"3184 Boulevard Cremazie",418-523-7723
Jeffrey,Riddle,"1894 Adelaide St",416-367-7016
Glen,Roberts,"3118 MacLaren Street",613-565-2658
Joe,Sims,"3129 Kinchant St",250-249-2888
Edward,Frisina,"4808 Jasper Avenue",780-995-6278
Jill,Estes,"2932 2nd Street",204-357-9919
Rena,Rousseau,"4554 Holdom Avenue",604-583-9572
Jessica,Kirkpatrick,"1699 Riedel Street",780-714-9722
Sallie,Williams,"922 rue Parc",819-212-1078
Helen,Wood,"4607 Sixth Street",604-759-1892
Lucille,Jackson,"1655 99th St",780-897-4129
Amalia,Ashton,"3955 Kennedy Rd",705-953-7507
Ron,Nichols,"2583 St. John Street",306-282-7822
Joseph,Sharp,"4877 Isabella Street",613-965-2805
Linda,Palmer,"1490 Rue De La Gare",819-383-9815
Marcus,Nichols,"3361 Burdett Avenue",250-625-8053
Sabrina,Lucas,"2809 Gordon Street",902-652-4192
James,Duvall,"4445 Alaska Hwy",250-401-4538
Daniel,Howells,"1492 Bridgeport Rd",705-606-8202
Jeremy,Turner,"867 Saskatchewan Dr",418-681-2931
Richard,Spruill,"529 Birkett Lane",519-861-8588
Danny,Jenkins,"304 Dundas St",416-590-4927
Michael,Mitchell,"1331 Sherbrooke Ouest",514-838-4873
Willie,Wallace,"4865 184th Street",780-721-4987
Vicki,Johnson,"3059 Toy Avenue",905-443-8087
Stacy,Smith,"1980 Barton Street",905-560-4388
Gerald,Olesen,"446 184th Street",780-468-4489
Matthew,Emerson,"3215 11th Ave",403-237-9112
Jesse,Gordon,"1717 Parkdale Avenue",905-312-7551
Curtis,Imhoff,"2968 Port Washington Road",403-652-1487
Annette,Davis,"1604 Papineau Avenue",514-402-2938
Vivian,Faison,"1620 De L'Acadie Boul",514-894-3025
Lloyd,Dyer,"2622 Heritage Drive",403-816-6504
Shannon,Gunter,"2130 Nelson Street",705-363-7795
Allen,Clinton,"4974 George Street",705-760-1988
Kevin,Baker,"753 Gorham Street",519-679-7841
Charlene,Carr,"3585 Lynden Road",705-429-8278
Cindy,Mason,"2153 Weir Crescent",416-282-1015
Monica,Cottrell,"43 Pitfield Blvd",514-752-0608
Peter,Wilson,"4961 Sturgeon Drive",780-625-8951
John,Everhart,"2598 René-Lévesque Blvd",514-998-8702
Barbara,Ash,"297 rue Levy",514-770-6328
Marie,Ramos,"4150 49th Avenue",867-370-0454
Charles,Gibson,"3539 Bloor Street",780-658-1816
Amy,Bird,"1887 Woodvale Drive",519-693-7271
Eric,Garcia,"3381 Reserve St",613-334-5853
Roland,Rodriguez,"332 Lyons Avenue",519-209-8092
Kasandra,Phillips,"2408 Pitfield Blvd",450-505-6719
Omar,Strickland,"2071 Burnt Island Road",705-385-6123
Daniel,Rodriguez,"3872 Victoria Park Ave",416-495-3071
Kareen,Cannon,"3298 rue de la Gauchetière",514-393-5132
Tracey,Baker,"3232 Nelson Street",807-471-5380
Beverly,Banks,"1490 St. John Street",306-749-9505
Jose,Grahm,"1633 MacLaren Street",613-978-5856
Brian,Kelley,"233 Eglinton Avenue",416-908-9480
Anthony,Anderson,"208 Merivale Road",613-599-1128
Jared,Reeves,"1623 Beaver Creek",905-709-1103
Camilla,Webster,"4238 Northumberland Street",519-632-5327
Rachael,Suiter,"3541 Essendene Avenue",604-853-4833
Jonathon,Stites,"2081 Ste. Catherine Ouest",514-821-1308
Dorothy,Carpenter,"64 rue Ellice",450-268-0937
Kelly,McNeely,"1388 Blanshard",250-222-6084
Jack,Feliciano,"3600 Goyeau Ave",519-252-3033
David,Holt,"4524 Hardy Street",250-979-5409
Staci,Cooper,"3372 rue de la Gauchetière",514-878-9032
Kathryn,Oliveira,"4872 Goyeau Ave",519-919-2303
Kristin,Wilcox,"137 rue Ontario Ouest",514-288-2985
Clarence,Palacio,"4317 Robson St",604-663-9804
William,Parsons,"2555 Wyecroft Road",905-846-8822
Frank,Gonzalez,"4972 Ross Street",613-464-5709
Rebecca,Williams,"3696 Toy Avenue",905-447-4124
Scott,Harris,"3847 Davis Drive",289-221-3759
Rosetta,Henson,"4400 Merton Street",416-527-2970
Paula,Line,"4552 Thurston Dr",613-590-0735
Maria,Langevin,"3762 184th Street",780-221-0732
Daphne,Becerra,"1060 Kinchant St",250-255-7959
Javier,Clarke,"555 3rd Avenue",403-635-1713
Greta,Hills,"3964 Albert Street",519-451-5291
Marvin,Blake,"1972 Smith Avenue",905-928-2457
Elaine,Clark,"4977 Main St",306-448-4601
Jamie,Gomez,"3335 rue des Églises Est",819-949-3734
Anthony,Rahman,"82 Port Washington Road",403-601-2169
Edward,Allen,"4388 Hammarskjold Dr",604-298-2948
Helena,Stephens,"2030 Tanner Street",604-431-4517
Joann,Perry,"1689 Ross Street",613-483-1277
Jerry,Rawley,"237 Ste. Catherine Ouest",514-863-2289
Elizabeth,West,"4975 rue Saint-Antoine",450-521-3029
Mitsue,Faught,"1744 rue Principale",819-442-4257
Joseph,Romero,"2936 rue Boulay",450-253-5001
Mark,Gandy,"1978 King George Hwy",604-507-0500
Darrell,Robinson,"4838 Granville St",902-830-3652
Irene,Tibbetts,"400 Tycos Dr",416-882-0736
George,Gaither,"2033 James Street",705-473-5883
Pierre,Kennedy,"3374 Merton Street",416-526-0275
Tamara,Rayborn,"1851 Sherbrooke Ouest",514-269-2837
Ethel,Teel,"567 Quayside Dr",604-376-2596
Wesley,Parker,"4339 Cassells St",705-498-6995
Linda,Anderson,"4388 Runnymede Rd",416-767-4466
Marie,Phillips,"3415 Lockhart Drive",705-423-1991
Scott,Wilson,"2741 Queen Elizabeth Boulevard",416-645-6655
Joshua,Eckles,"2416 Carling Avenue",613-612-8826
Terrence,Chamberlin,"3236 Yonge Street",416-960-5250
Deborah,Renfroe,"790 Adelaide St",416-203-3309
Bobby,Bello,"4734 Walsh Street",807-626-9413
Dennis,Odom,"770 Embro St",519-424-3679
Marcus,Wallace,"2360 No. 3 Road",604-248-7455
Jamie,Blount,"1049 René-Lévesque Blvd",514-651-9551
Jeremy,Sellers,"1388 Wyecroft Road",905-840-7769
John,Council,"4370 Stoney Creek",306-832-9430
Paula,Ellis,"2369 Pine Street",780-389-0488
Alice,Sutherland,"4791 Nelson Street",807-482-4887
Sheryl,Smith,"3234 rue des Églises Est",450-533-3061
Connie,Southerland,"1841 St Jean Baptiste St",418-745-8553
Myrtle,Clifton,"2406 Yonge Street",416-935-2213
Laura,Harrison,"872 Carlson Road",250-561-5452
Marshall,McMahon,"1962 Nelson Street",807-927-6953
Augustina,Batson,"511 No. 3 Road",604-249-6754
Jason,Davidson,"4061 Harvest Moon Dr",905-513-4987
Gregory,Smith,"2193 MacLaren Street",613-948-6478
Alisha,Marquez,"788 Danforth Avenue",416-406-3509
Mary,Gartner,"99 Carling Avenue",613-295-1378
Gussie,Lewis,"147 11th Ave",403-298-4644
Carol,Fife,"4219 rue Levy",514-791-0019
Shannon,Patchett,"3741 Nelson Street",807-933-0901
Brian,Kyle,"3676 Jasper Avenue",780-265-2020
John,McRae,"4089 5th Avenue",780-338-7455
Robin,Karn,"1418 5th Avenue",780-354-4558
Henry,Atkinson,"2638 Eglinton Avenue",416-902-4096
Robin,May,"4960 Derry Rd",905-405-9864
Harry,Love,"2921 MacLaren Street",613-760-4096
John,Seward,"2854 Roger Street",250-723-2024
Bonnie,Weeks,"503 Montreal Road",613-951-0581
Paula,Oneal,"2851 Weir Crescent",416-898-1651
Phillip,Hunter,"4774 Queens Bay",250-367-0474
Madeline,Stowers,"2396 Fallon Drive",519-529-1562
Mark,Arrington,"3873 Edson Drive",780-740-1143
Jermaine,Harris,"1451 Reserve St",613-649-5154
Anna,Anderson,"4944 rue Garneau",418-659-3387
Numbers,Johnson,"1453 Ste. Catherine Ouest",514-904-2732
Dennis,Leon,"3204 Maynard Rd",403-923-7017
Sydney,Resendez,"2276 rue Fournier",450-712-6769
Robert,Coyle,"2526 Bloor Street",780-877-4665
Harry,Brown,"4737 Old Post Ln",902-368-0156
James,Nelson,"4001 Queens Bay",250-365-2401
Julie,Payne,"1064 Fallon Drive",519-296-1173
Robert,Espinoza,"724 Nootka Street",778-834-8230
Phyllis,Olson,"3967 White Point Road",902-588-3820
Kathy,Gilfillan,"1349 Paris St",705-222-7057
Natasha,Stone,"1729 St Jean Baptiste St",418-240-0118
Donna,Franklin,"1806 Hardy Street",250-717-5911
Oliver,Resler,"4170 Queens Sq",519-241-4705
Frank,Garcia,"3046 Toy Avenue",905-439-5432
James,Caldwell,"3841 avenue Royale",418-262-8767
Suzanne,Pecora,"1615 Islington Ave",416-746-1931
James,Livingston,"4993 rue des Églises Est",819-394-3225
Christine,Lafreniere,"2051 Burdett Avenue",250-813-6308
Brenda,Mendez,"1324 St-Jerome Street",450-565-6172
Gordon,Firkins,"2227 St. John Street",306-447-6933
Lauren,Purcell,"2003 Jasper Avenue",780-265-2939
Damaris,Kaplan,"2094 Island Hwy",250-830-7136
David,Singleton,"2997 Islington Ave",416-742-4948
John,Badgett,"3078 rue Levy",514-609-6293
George,Lopez,"4225 chemin Georges",450-882-1492
Daniel,Braley,"881 Davis Drive",905-960-1394
Steven,Phillips,"4930 Merivale Road",613-270-2363
Joseph,Tirado,"3113 Davis Drive",705-323-3833
Jack,Adams,"2200 Blind Bay Road",250-834-9072
Marie,Fuentes,"620 Kinchant St",250-962-6300
Gregory,Holt,"2867 Richford Road",450-210-6914
Mark,Bunker,"81 Rue De La Gare",418-720-9921
Kali,Lile,"4568 Manitoba Street",705-477-1373
Michael,Hernandez,"3412 Brew Creek Rd",604-698-7565
Ralph,Schwartz,"1827 St. Paul Street",289-321-2031
Ivan,Haffey,"4818 9th Ave",403-894-3786
Karen,Delbosque,"3705 Horner Ave",647-439-7867
Salvatore,McClain,"3515 Sixth Street",604-522-4525
Vivian,Gadsden,"4726 Ontario St",905-937-3925
Andrea,Grayson,"1654 St. Paul Street",905-321-7168
Hollis,Moore,"1745 Scotchmere Dr",519-402-0935
Stuart,Truesdale,"2371 Jasper Ave",780-905-4983
Jason,Marcus,"4896 Port Washington Road",403-222-0703
Kimberly,Collins,"588 Central Pkwy",905-569-7837
Beatrice,Hare,"504 Heritage Drive",403-990-7311
Joyce,Beall,"3770 Gorham Street",519-873-2802
Amanda,Gross,"2038 Ontario St",905-938-3498
Robert,James,"1284 Merton Street",416-986-3235
Julie,Sandin,"4118 102nd Avenue",250-261-9867
Christopher,Hoy,"1275 Bank St",613-737-0697
Ricky,Lainez,"290 49th Avenue",867-690-5353
Jesse,Waldroup,"1932 Jasper Avenue",780-240-4624
Mark,Atkins,"3845 Township Rd",780-745-6798
Charles,Mills,"1190 avenue Royale",418-780-9230
Paul,Young,"783 Speers Road",905-399-9155
Michael,McPherson,"4185 Gateway Blvd",780-989-3292
Dorothy,Denton,"1006 Eglinton Avenue",647-882-7572
Randy,Brown,"4620 Tycos Dr",416-599-8202
Samuel,Shepherd,"4027 Rose Street",306-798-8296
Michael,Langley,"4414 137th Avenue",780-457-4769
Janis,Mathias,"676 56th Street",780-362-8928
Darrell,Showers,"3312 184th Street",780-975-5742
Angela,McClain,"677 Islington Ave",416-565-4629
Patricia,Richardson,"54 Russell Avenue",604-538-7116
Curtis,Jay,"3053 Silver Springs Blvd",403-202-9119
Phil,Magnuson,"1026 McGill Road",250-377-8618
Joyce,Murphy,"3154 Tycos Dr",416-910-1675
Murray,McMahan,"4741 Dominion St",613-346-6171
Beatrice,Geisler,"2146 St. Paul Street",905-321-5208
Judith,Korn,"1046 Ontario St",905-937-2562
Elizabeth,Washington,"217 Scotts Lane",250-743-5059
James,Krug,"4512 Fallon Drive",519-848-9932
Lloyd,Gerard,"2142 Scotts Lane",250-752-1605
Francisca,Dumas,"818 Bayfield St",905-224-9739
Ann,Irvine,"59 Bay Street",416-878-5293
John,Baugh,"335 Main St",306-662-2100
Aimee,Spates,"1290 Rayborn Crescent",780-460-5094
Christopher,Zavala,"959 Eagle Rd",416-734-2144
Frank,Towns,"2870 Yonge Street",416-325-5217
Robert,Estepp,"3288 Ostrea Lake Rd",902-878-7131
Mary,Mullen,"4110 Rose Street",306-543-0580
Ramon,Lamantia,"1751 Shaughnessy St",604-945-2107
David,Searles,"966 184th Street",780-996-8472
Matthew,Gore,"1943 Playfair Avenue",416-424-0281
James,Laduke,"1902 Bridgeport Rd",519-806-4636
Jon,Hall,"4416 No. 3 Road",604-273-7763
Esther,Coppola,"2562 St. John Street",306-734-6409
Judith,Sheridan,"3521 Richmond Road",403-244-1417
Pamela,Brown,"4787 rue Boulay",450-798-0950
Gerald,Richardson,"2343 Halsey Avenue",416-450-8659
Katrina,Ellis,"1451 rue Saint-Édouard",819-386-6434
Alexander,Hardesty,"2531 Bloor Street",780-581-6875
Anna,Gambill,"392 Northumberland Street",519-699-8805
Charles,Rowan,"2123 Manitoba Street",705-765-7974
Yong,Anderson,"460 Dry Pine Bay Rd",705-866-9927
Timothy,Jones,"2985 rue Saint-Antoine",450-574-7882
Sandra,Martin,"2450 Wellington Ave",604-795-0382
